ID,CDdotproduct
BAYLORJH035_FOV1_2021_12_09_2022_02_15, -0.4298669462312906
BAYLORJH035_FOV1_2022_02_24_2022_05_23, -0.5782761671779678
BAYLORJH035_FOV4_2021_12_15_2022_02_18, -0.3615167450744345
BAYLORJH116_FOV1_2022_10_01_2022_10_27, 0.6314903210225906
BAYLORJH118_FOV1_2022_09_29_2022_10_26, 0.13713976946627787
BAYLORJH118_FOV1_2022_10_26_2022_11_27, -0.020160456715925226
BAYLORJH118_FOV2_2022_09_30_2022_10_27, -0.6533344119999649
BAYLORJH118_FOV2_2022_10_27_2022_11_28, -0.35953577108157275
BAYLORJH118_FOV3_2022_10_01_2022_10_28, -0.3784069897199452
BAYLORJH118_FOV3_2022_10_28_2022_11_29, 0.13302689031664583
BAYLORJH118_FOV4_2022_10_03_2022_10_29, 0.6598553664356996
BAYLORJH118_FOV4_2022_10_29_2022_11_30, 0.6504509437950895
BAYLORJH118_FOV5_2022_10_05_2022_10_30, 0.3001902427084872
BAYLORJH118_FOV5_2022_10_30_2022_12_01, 0.4360543513173979
BAYLORJH122_FOV1_2022_09_29_2022_10_20, -0.5336047373308
BAYLORJH122_FOV1_2022_09_29_2022_11_27, -0.3840055604775708
BAYLORJH122_FOV1_2022_10_20_2022_11_08, -0.438226449644475
BAYLORJH122_FOV1_2022_11_08_2022_11_27, -0.573657130067379
BAYLORJH122_FOV2_2022_09_30_2022_10_21, -0.5116024405501237
BAYLORJH122_FOV2_2022_10_21_2022_11_01, -0.2705292101237457
BAYLORJH122_FOV2_2022_11_01_2022_11_28, -0.4744944253760374
BAYLORJH122_FOV3_2022_10_01_2022_10_19, -0.7584734424399134
BAYLORJH122_FOV3_2022_10_19_2022_11_05, -0.34588894911847123
BAYLORJH122_FOV4_2022_10_02_2022_10_18, -0.020514164980143024
BAYLORJH122_FOV4_2022_10_18_2022_11_07, -0.00028048290493512426
BAYLORJH122_FOV7_2022_10_03_2022_10_22, -0.4443538912878922
BAYLORJH123_FOV1_2022_10_01_2022_11_07, -0.8016414743817488
BAYLORJH123_FOV1_2022_11_07_2022_12_04, -0.8010589084025386
BAYLORJH123_FOV2_2022_10_02_2022_11_08, -0.6932313076477381
BAYLORJH123_FOV2_2022_11_08_2022_12_05, -0.8150993975590104
BAYLORJH123_FOV3_2022_10_03_2022_11_09, -0.7181514313267481
BAYLORJH123_FOV3_2022_11_09_2022_12_06, -0.8262901912323106
BAYLORJH130_FOV11_2023_04_07_2023_04_27, -0.8170005646996108
BAYLORJH130_FOV11_2023_04_27_2023_06_07, -0.6219239410168304
BAYLORJH130_FOV12_2023_04_08_2023_04_28, -0.42637041978228674
BAYLORJH130_FOV12_2023_04_28_2023_06_17, -0.26789844282333386
BAYLORJH130_FOV13_2023_04_09_2023_04_29, -0.7945552722047088
BAYLORJH130_FOV13_2023_04_29_2023_06_09, -0.3493290156919013
BAYLORJH130_FOV13_2023_06_09_2023_07_15, -0.21363476924665104
BAYLORJH130_FOV14_2023_04_10_2023_04_26, -0.7346176415392168
BAYLORJH130_FOV14_2023_04_26_2023_06_08, -0.5859215765992262
BAYLORJH130_FOV14_2023_06_08_2023_07_13, -0.6208921934526545
BAYLORJH134_FOV11_2023_04_11_2023_04_30, -0.8823563963568473
BAYLORJH134_FOV11_2023_04_30_2023_06_08, -0.8113138556676973
BAYLORJH134_FOV11_2023_06_08_2023_06_30, -0.7466747996963031
BAYLORJH134_FOV13_2023_04_13_2023_04_29, -0.8340224168965544
BAYLORJH134_FOV13_2023_04_29_2023_06_01, -0.812781534458817
BAYLORJH134_FOV13_2023_06_01_2023_07_02, -0.7624193958709842
BAYLORJH158_FOV1_2023_04_28_2023_06_08, 0.675078357608104
BAYLORJH158_FOV2_2023_04_29_2023_06_01, 0.2568237683448079
BAYLORJH158_FOV3_2023_04_30_2023_06_02, -0.40479320097013616
BAYLORJH158_FOV4_2023_05_01_2023_06_09, 0.6890757477417215
BAYLORJH159_FOV1_2023_04_27_2023_06_07, -0.6634061712580367
BAYLORJH159_FOV4_2023_04_25_2023_06_09, -0.19735344437952176
BAYLORJH159_FOV5_2023_04_29_2023_06_08, -0.5704233952699533
BAYLORJH176_FOV2_2023_08_11_2023_09_12, -0.555144558500542
BAYLORJH176_FOV3_2023_08_12_2023_09_14, -0.49490261048119316
BAYLORJH176_FOV5_2023_08_14_2023_09_15, -0.6925426937043083
